iter	RMSE
0	1.146084439
1	1.112281909
2	1.079212616
3	1.047170752
4	1.016147194
5	0.9859170211
6	0.9566043268
7	0.9285462155
8	0.900979353
9	0.8743951446
10	0.848617305
11	0.82347676
12	0.7990372353
13	0.7753795733
14	0.7524748775
15	0.730170178
16	0.70848316
17	0.6875900354
18	0.6673445874
19	0.6475770814
20	0.6284053468
21	0.6098635356
22	0.5918218491
23	0.5743066498
24	0.557358033
25	0.5409652456
26	0.5250376525
27	0.5094948775
28	0.4944516666
29	0.4798953532
30	0.4657658347
31	0.4520326494
32	0.4387372487
33	0.4258107847
34	0.4134723283
35	0.4012991522
36	0.3895259904
37	0.3780643635
38	0.3669498063
39	0.356164744
40	0.3457363328
41	0.3355452161
42	0.3256789882
43	0.3161309939
44	0.3068613973
45	0.2979148466
46	0.289207492
47	0.2808691594
48	0.2726870065
49	0.2647671534
50	0.2570646721
51	0.2495499186
52	0.242299479
53	0.2352836841
54	0.2285524985
55	0.2218941668
56	0.2154600347
57	0.2092350635
58	0.2031812601
59	0.197311963
60	0.1915755978
61	0.1859966119
62	0.1806421452
63	0.1754435197
64	0.1704371623
65	0.1655215291
66	0.1607292464
67	0.1561410637
68	0.1517270258
69	0.147427658
70	0.143190495
71	0.1391180864
72	0.1351414521
73	0.1312936821
74	0.1275854904
75	0.1239695897
76	0.1204486988
77	0.1170628978
78	0.1137832931
79	0.110618927
80	0.1075246309
81	0.1044834752
82	0.1015702597
83	0.09872265199
84	0.09594498814
85	0.09327928714
86	0.09070816058
87	0.08819884233
88	0.08576016561
89	0.08343720776
90	0.08113936894
91	0.07892183109
92	0.07678607461
93	0.07468635243
94	0.07267921
95	0.07074710037
96	0.06886479984
97	0.06701891114
98	0.06526007714
99	0.06352558863
100	0.061861509
101	0.06026446515
102	0.05868245994
103	0.05716968834
104	0.05572493151
105	0.05431463929
106	0.05294564254
107	0.05161620049
108	0.0503308939
109	0.04908105961
110	0.04787849458
111	0.04676524116
112	0.0456606465
113	0.04455791935
114	0.04350251592
115	0.04246770678
116	0.04148857822
117	0.04053143184
118	0.03966027536
119	0.03880458691
120	0.03795044777
121	0.03712242543
122	0.03633302131
123	0.03565915958
124	0.03491693702
125	0.03419758192
126	0.03353158479
127	0.03286174051
128	0.03226122991
129	0.0316298405
130	0.03102236121
131	0.03049600365
132	0.02997404137
133	0.02945959629
134	0.02899036065
135	0.02852832244
136	0.02807982592
137	0.02762939443
138	0.02718769094
139	0.0267978538
140	0.02639749588
141	0.02599241128
142	0.02562255142
143	0.02524022652
144	0.02493911714
145	0.02463671294
146	0.02434039718
147	0.02405574133
148	0.02376428454
149	0.0234726541
150	0.02325331973
151	0.02297219853
152	0.02271607666
153	0.02250748275
154	0.0223153858
155	0.02207040716
156	0.02183940614
157	0.02163386255
158	0.02147575593
159	0.02129826341
160	0.02110356446
161	0.02091419419
162	0.02073899656
163	0.02058033563
164	0.0204185026
165	0.02025219735
166	0.02014176287
167	0.02001976443
168	0.01990420461
169	0.01975426026
170	0.01961946779
171	0.01950824156
172	0.01940273822
173	0.01926883508
174	0.01915648631
175	0.01904462088
176	0.0189426651
177	0.01886103996
178	0.01880772429
179	0.01871243235
180	0.01864208015
181	0.01860073197
182	0.01851713413
183	0.01845557835
184	0.01841958932
185	0.01837891075
186	0.01833562932
187	0.01828150176
188	0.01823322898
189	0.0181924706
190	0.01815952224
191	0.01808411607
192	0.0180483009
193	0.01802064675
194	0.017988083
195	0.01791692072
196	0.01788651646
197	0.01785503375
198	0.01783307882
199	0.01780758877
